### Cluster 10 — Symptoms (46)
Symptom,Frequency
pain in sacrum,4
rheumatic arthritis of joints of fingers,1
flatulency with much rolling,1
piercing pain in left hip and small of back,1
compelling him to move constantly,1
cracking of joints in arthritis,1
causing excruciating pain,1
nephritis,1
pains suddenly go to heart,1
pain in hip causing him to move frequently,1
uric acid deposits in finger joints,1
complaints from eating food grown in damp places,1
sciatica when getting up or sitting down or turning in bed,1
stiffness of knee,1
piercing pains on humerus,1
piercing as from knives between scapulae,1
pain in left hip as after lying in a bad position,1
pain in right hip joint,1
piercing pains in left axilla,1
piercing pains fingers and under nails,1
awakens him at night,1
stitches in nape of neck,1
rheumatic pains in limbs associated with gastric symptoms,1
complaints from living in damp places,1
cannot lie on either side,1
sycosis,1
piercing pains back of hand,1
impossible to continue walking,1
pressure in left side of back near lumbar region,1
making it very difficult to ascend or sit down or get up,1
bruised pain in small of back and sacrum,1
piercing pains palm of right hand,1
irritable liver with stitches in liver,1
sudden stitch in left hip,1
no relief in any position,1
flexors of hands painful when grasping anything,1
gastric complaints with much acidity,1
gout in feet in acute or chronic conditions,1
fingers swollen and stiff,1
soreness up and down spine and neck,1
marked dyspnoea during damp cloudy weather,1
dirty greenish-grey or greenish-brown coating on back of tongue,1
piercing pain only during rest,1
pain in hip extending to knee,1
pains in limbs compelling him to change position frequently,1
constant shifting of position,1

### Top Remedies
Remedy,Symptoms_Covered
natrum sulphuricum,46
tellurium,1
sulphur,1
syphilinum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
irritable liver with stitches in liver,marked dyspnoea during damp cloudy weather,1.0,1
irritable liver with stitches in liver,dirty greenish-grey or greenish-brown coating on back of tongue,1.0,1
irritable liver with stitches in liver,piercing pain only during rest,1.0,1
irritable liver with stitches in liver,pain in hip extending to knee,1.0,1
irritable liver with stitches in liver,pains in limbs compelling him to change position frequently,1.0,1
irritable liver with stitches in liver,constant shifting of position,1.0,1
making it very difficult to ascend or sit down or get up,rheumatic arthritis of joints of fingers,1.0,1
making it very difficult to ascend or sit down or get up,flatulency with much rolling,1.0,1
making it very difficult to ascend or sit down or get up,piercing pain in left hip and small of back,1.0,1
making it very difficult to ascend or sit down or get up,compelling him to move constantly,1.0,1
making it very difficult to ascend or sit down or get up,cracking of joints in arthritis,1.0,1
making it very difficult to ascend or sit down or get up,causing excruciating pain,1.0,1
making it very difficult to ascend or sit down or get up,nephritis,1.0,1
making it very difficult to ascend or sit down or get up,pains suddenly go to heart,1.0,1
making it very difficult to ascend or sit down or get up,pain in hip causing him to move frequently,1.0,1
making it very difficult to ascend or sit down or get up,uric acid deposits in finger joints,1.0,1
making it very difficult to ascend or sit down or get up,complaints from eating food grown in damp places,1.0,1
making it very difficult to ascend or sit down or get up,sciatica when getting up or sitting down or turning in bed,1.0,1
making it very difficult to ascend or sit down or get up,stiffness of knee,1.0,1
making it very difficult to ascend or sit down or get up,piercing pains on humerus,1.0,1
making it very difficult to ascend or sit down or get up,piercing as from knives between scapulae,1.0,1
making it very difficult to ascend or sit down or get up,pain in left hip as after lying in a bad position,1.0,1
making it very difficult to ascend or sit down or get up,pain in right hip joint,1.0,1
making it very difficult to ascend or sit down or get up,piercing pains in left axilla,1.0,1
making it very difficult to ascend or sit down or get up,piercing pains fingers and under nails,1.0,1
making it very difficult to ascend or sit down or get up,awakens him at night,1.0,1
making it very difficult to ascend or sit down or get up,stitches in nape of neck,1.0,1
making it very difficult to ascend or sit down or get up,rheumatic pains in limbs associated with gastric symptoms,1.0,1
making it very difficult to ascend or sit down or get up,complaints from living in damp places,1.0,1
making it very difficult to ascend or sit down or get up,cannot lie on either side,1.0,1
making it very difficult to ascend or sit down or get up,sycosis,1.0,1
making it very difficult to ascend or sit down or get up,pain in sacrum,1.0,1
making it very difficult to ascend or sit down or get up,piercing pains back of hand,1.0,1
making it very difficult to ascend or sit down or get up,impossible to continue walking,1.0,1
making it very difficult to ascend or sit down or get up,pressure in left side of back near lumbar region,1.0,1
making it very difficult to ascend or sit down or get up,bruised pain in small of back and sacrum,1.0,1
making it very difficult to ascend or sit down or get up,piercing pains palm of right hand,1.0,1
making it very difficult to ascend or sit down or get up,irritable liver with stitches in liver,1.0,1
making it very difficult to ascend or sit down or get up,sudden stitch in left hip,1.0,1
making it very difficult to ascend or sit down or get up,no relief in any position,1.0,1
making it very difficult to ascend or sit down or get up,flexors of hands painful when grasping anything,1.0,1
making it very difficult to ascend or sit down or get up,gastric complaints with much acidity,1.0,1
making it very difficult to ascend or sit down or get up,gout in feet in acute or chronic conditions,1.0,1
making it very difficult to ascend or sit down or get up,fingers swollen and stiff,1.0,1
making it very difficult to ascend or sit down or get up,soreness up and down spine and neck,1.0,1
making it very difficult to ascend or sit down or get up,marked dyspnoea during damp cloudy weather,1.0,1
making it very difficult to ascend or sit down or get up,dirty greenish-grey or greenish-brown coating on back of tongue,1.0,1
making it very difficult to ascend or sit down or get up,piercing pain only during rest,1.0,1
