### Cluster 60 — Symptoms (39)
Symptom,Frequency
rheumatic paralysis of carpal joints,1
rheumatic paralysis of tarsal joints,1
has to walk constantly,1
inflammation of large joints,1
lameness after sprains of wrists,1
bones of wrist painful,1
bruised pain in lumbar vertebrae,1
bones of back of hand painful,1
lameness after sprains,1
rheumatism of right leg with ganglia of tendons in palm,1
pain as from a blow in coccyx,1
pain as from a fall in coccyx,1
wrists feel stiff as if sprained,1
pain deep seated as if in marrow of bone,1
hip bones feel bruised,1
bones of feet sore,1
pain as from a blow in back,1
hamstrings feel weak,1
rheumatism of both feet from heels to toes,1
pain as if sprained in shoulders,1
unable to bend due to pains in all joints,1
pains as from a blow in left elbow joint,1
rheumatism of right wrist,1
knees give way when going down stairs,2
pain as if sprained in nape,1
rheumatism of right leg,1
soreness through small bones of hands,1
cramp-like contractions from thighs to small of back,1
shooting pains from back down outside of thigh,1
pain as from a fall in back,1
lameness after sprains of ankles,1
sprained pain in ankles,1
ganglia on sheath of flexor tendons of fourth finger,1
rheumatic pains in back,2
constantly changing position,1
hamstrings feel shortened,1
aching over both eyes,1
cannot step heavily upon feet,1
bruised sprained pains,1

### Top Remedies
Remedy,Symptoms_Covered
ruta graveolens,39
mephitis,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
rheumatism of right wrist,pain deep seated as if in marrow of bone,1.0,1
rheumatism of right wrist,hip bones feel bruised,1.0,1
rheumatism of right wrist,bones of feet sore,1.0,1
rheumatism of right wrist,pain as from a blow in back,1.0,1
rheumatism of right wrist,hamstrings feel weak,1.0,1
rheumatism of right wrist,rheumatism of both feet from heels to toes,1.0,1
rheumatism of right wrist,pain as if sprained in shoulders,1.0,1
rheumatism of right wrist,unable to bend due to pains in all joints,1.0,1
rheumatism of right wrist,pains as from a blow in left elbow joint,1.0,1
rheumatism of right wrist,knees give way when going down stairs,1.0,1
rheumatism of right wrist,pain as if sprained in nape,1.0,1
rheumatism of right wrist,rheumatism of right leg,1.0,1
rheumatism of right wrist,soreness through small bones of hands,1.0,1
rheumatism of right wrist,cramp-like contractions from thighs to small of back,1.0,1
rheumatism of right wrist,shooting pains from back down outside of thigh,1.0,1
rheumatism of right wrist,pain as from a fall in back,1.0,1
rheumatism of right wrist,lameness after sprains of ankles,1.0,1
rheumatism of right wrist,sprained pain in ankles,1.0,1
rheumatism of right wrist,ganglia on sheath of flexor tendons of fourth finger,1.0,1
rheumatism of right wrist,rheumatic pains in back,1.0,1
rheumatism of right wrist,constantly changing position,1.0,1
rheumatism of right wrist,hamstrings feel shortened,1.0,1
rheumatism of right wrist,aching over both eyes,1.0,1
rheumatism of right wrist,cannot step heavily upon feet,1.0,1
rheumatism of right wrist,bruised sprained pains,1.0,1
hamstrings feel shortened,rheumatic paralysis of carpal joints,1.0,1
hamstrings feel shortened,rheumatic paralysis of tarsal joints,1.0,1
hamstrings feel shortened,has to walk constantly,1.0,1
hamstrings feel shortened,inflammation of large joints,1.0,1
hamstrings feel shortened,lameness after sprains of wrists,1.0,1
hamstrings feel shortened,bones of wrist painful,1.0,1
hamstrings feel shortened,bruised pain in lumbar vertebrae,1.0,1
hamstrings feel shortened,bones of back of hand painful,1.0,1
hamstrings feel shortened,lameness after sprains,1.0,1
hamstrings feel shortened,rheumatism of right leg with ganglia of tendons in palm,1.0,1
hamstrings feel shortened,pain as from a blow in coccyx,1.0,1
hamstrings feel shortened,pain as from a fall in coccyx,1.0,1
hamstrings feel shortened,wrists feel stiff as if sprained,1.0,1
hamstrings feel shortened,pain deep seated as if in marrow of bone,1.0,1
hamstrings feel shortened,hip bones feel bruised,1.0,1
hamstrings feel shortened,bones of feet sore,1.0,1
hamstrings feel shortened,pain as from a blow in back,1.0,1
hamstrings feel shortened,hamstrings feel weak,1.0,1
hamstrings feel shortened,rheumatism of both feet from heels to toes,1.0,1
hamstrings feel shortened,pain as if sprained in shoulders,1.0,1
hamstrings feel shortened,unable to bend due to pains in all joints,1.0,1
